time_step,Eletrical price(EUR/MWh),Load(kW),Pbess,SOC,Pgrid
0,5.99,7.665,-5.0,0.375,2.6649999618530273
1,5.99,7.41,-5.0,0.25,2.4099998474121094
2,5.99,8.355,-5.0,0.2,3.354999542236328
3,5.99,7.83,-5.0,0.2,2.8299999237060547
4,5.99,7.545,-5.0,0.2,2.5450000762939453
5,5.99,8.145,-5.0,0.2,3.145000457763672
6,4.84,7.815,-5.0,0.2,2.815000057220459
7,4.84,7.77,-5.0,0.2,2.7699999809265137
8,4.84,8.235,-5.0,0.2,3.234999656677246
9,4.84,8.205,-5.0,0.2,3.2049999237060547
10,4.84,8.025,-5.0,0.2,3.0249996185302734
11,4.84,7.755,-5.0,0.2,2.755000114440918
12,2.5,7.68,-5.0,0.2,2.679999828338623
13,2.5,7.995,-5.0,0.2,2.994999885559082
14,2.5,7.905,-5.0,0.2,2.9050002098083496
15,2.5,8.175,-5.0,0.2,3.1750001907348633
16,2.5,7.86,-5.0,0.2,2.8600001335144043
17,2.5,7.785,-5.0,0.2,2.7849998474121094
18,2.5,8.34,-5.0,0.2,3.3400001525878906
19,2.5,7.845,-5.0,0.2,2.8449997901916504
20,2.5,8.265,-5.0,0.2,3.265000343322754
21,2.5,8.34,-5.0,0.2,3.3400001525878906
22,2.5,8.46,-5.0,0.2,3.4600000381469727
23,2.73,9.0,-5.0,0.2,4.0
24,2.73,8.535,-5.0,0.2,3.5349998474121094
25,2.73,8.67,-5.0,0.2,3.6700000762939453
26,2.73,8.82,-5.0,0.2,3.8199996948242188
27,2.73,8.16,-5.0,0.2,3.1599998474121094
28,2.73,8.13,-5.0,0.2,3.130000114440918
29,2.73,7.815,-5.0,0.2,2.815000057220459
30,2.73,8.415,-5.0,0.2,3.4149999618530273
31,2.73,7.98,-5.0,0.2,2.9800000190734863
32,2.73,8.19,-5.0,0.2,3.189999580383301
33,2.73,8.925,-5.0,0.2,3.9250001907348633
34,2.73,8.64,-5.0,0.2,3.640000343322754
35,2.73,9.57,-5.0,0.2,4.569999694824219
36,2.73,11.685,-5.0,0.2,6.685000419616699
37,2.73,12.69,-5.0,0.2,7.689999580383301
38,5.1,14.1,-5.0,0.2,9.100000381469727
39,5.1,14.22,-5.0,0.2,9.220000267028809
40,5.1,13.815,-5.0,0.2,8.8149995803833
41,5.1,14.19,-5.0,0.2,9.1899995803833
42,5.1,14.58,-5.0,0.2,9.579999923706055
43,5.1,17.43,-5.0,0.2,12.430000305175781
44,5.1,17.22,-5.0,0.2,12.219999313354492
45,5.1,17.235,-5.0,0.2,12.235000610351562
46,2.5,19.365,-5.0,0.2,14.364999771118164
47,2.5,17.73,-5.0,0.2,12.729999542236328
48,2.5,18.585,-5.0,0.2,13.584999084472656
49,2.5,16.47,-5.0,0.2,11.469999313354492
50,2.5,15.765,-5.0,0.2,10.765000343322754
51,2.5,17.205,-5.0,0.2,12.204999923706055
52,2.5,16.23,-5.0,0.2,11.229999542236328
53,2.5,16.665,-5.0,0.2,11.665000915527344
54,2.5,16.89,-5.0,0.2,11.889999389648438
55,2.5,16.305,-5.0,0.2,11.305000305175781
56,2.5,17.325,-5.0,0.2,12.325000762939453
57,2.5,16.935,-5.0,0.2,11.934999465942383
58,2.5,19.275,-5.0,0.2,14.274999618530273
59,2.5,15.105,-5.0,0.2,10.104999542236328
60,2.5,13.335,-5.0,0.2,8.335000038146973
61,2.5,11.475,-5.0,0.2,6.475000381469727
62,6.0,11.505,-5.0,0.2,6.505000114440918
63,6.0,10.845,-5.0,0.2,5.845000267028809
64,6.0,10.935,-5.0,0.2,5.935000419616699
65,6.0,11.895,-5.0,0.2,6.895000457763672
66,3.54,11.685,-5.0,0.2,6.685000419616699
67,3.54,11.16,-5.0,0.2,6.159999847412109
68,3.54,10.92,-5.0,0.2,5.920000076293945
69,3.54,11.535,-5.0,0.2,6.534999847412109
70,5.24,11.61,-5.0,0.2,6.609999656677246
71,5.24,10.74,-5.0,0.2,5.739999771118164
72,5.24,9.555,-5.0,0.2,4.555000305175781
73,5.24,9.945,-5.0,0.2,4.944999694824219
74,5.24,9.51,-5.0,0.2,4.510000228881836
75,5.24,8.565,-5.0,0.2,3.564999580383301
76,5.24,8.235,-5.0,0.2,3.234999656677246
77,5.24,9.375,-5.0,0.2,4.375
78,5.24,8.79,-5.0,0.2,3.7899999618530273
79,5.24,8.07,-5.0,0.2,3.0699996948242188
80,5.24,8.865,-5.0,0.2,3.864999771118164
81,5.24,8.685,-5.0,0.2,3.685000419616699
82,5.24,8.295,-5.0,0.2,3.2950000762939453
83,5.24,7.785,-5.0,0.2,2.7849998474121094
84,5.24,7.605,-5.0,0.2,2.6050000190734863
85,5.24,8.325,-5.0,0.2,3.3249998092651367
86,5.24,7.68,-5.0,0.2,2.679999828338623
87,5.24,7.185,-5.0,0.2,2.184999942779541
88,5.24,7.785,-5.0,0.2,2.7849998474121094
89,3.68,8.145,-5.0,0.2,3.145000457763672
90,3.68,7.92,-5.0,0.2,2.9200000762939453
91,3.68,8.325,-5.0,0.2,3.3249998092651367
92,3.68,7.665,-5.0,0.2,2.6649999618530273
93,3.68,7.56,-5.0,0.2,2.559999942779541
94,5.97,7.71,-5.0,0.2,2.7100000381469727
95,5.97,7.815,-5.0,0.2,2.815000057220459
